id,categoria,valor,quantidade,data,regiao,status
59,B,69.05155743261697,72,2023-01-01 00:59:00,Sul,Ativo
60,B,89.24846117998511,49,2023-01-01 01:00:00,Norte,Ativo
61,D,122.46078595262931,49,2023-01-01 01:01:00,Norte,Ativo
62,E,74.3474113614612,92,2023-01-01 01:02:00,Oeste,Ativo
63,B,114.34158073992327,7,2023-01-01 01:03:00,Norte,Pendente
64,B,103.55556277169971,15,2023-01-01 01:04:00,Oeste,Ativo
65,D,95.28089027953644,36,2023-01-01 01:05:00,Oeste,Ativo
66,B,94.40150915355986,72,2023-01-01 01:06:00,Norte,Ativo
67,B,90.17940603844025,74,2023-01-01 01:07:00,Oeste,Ativo
68,D,91.96058055886074,15,2023-01-01 01:08:00,Sul,Ativo
69,D,118.59480449622315,62,2023-01-01 01:09:00,Oeste,Ativo
70,A,91.35912371510452,18,2023-01-01 01:10:00,Sul,Ativo
71,E,136.15180644384614,46,2023-01-01 01:11:00,Sul,Ativo
72,E,105.99065006086424,61,2023-01-01 01:12:00,Sul,Inativo
73,B,88.47476141943454,43,2023-01-01 01:13:00,Norte,Pendente
74,E,119.46731904971229,44,2023-01-01 01:14:00,Sul,Ativo
75,B,112.47791886153153,99,2023-01-01 01:15:00,Norte,Inativo
76,A,66.91647119544683,66,2023-01-01 01:16:00,Leste,Ativo
77,D,79.31057285964926,55,2023-01-01 01:17:00,Sul,Ativo
78,D,97.69159397595175,86,2023-01-01 01:18:00,Oeste,Ativo
79,D,68.32784131159605,79,2023-01-01 01:19:00,Leste,Ativo
80,E,141.81059803943225,39,2023-01-01 01:20:00,Leste,Ativo
81,A,116.44464364078682,5,2023-01-01 01:21:00,Sul,Ativo
82,E,99.73334305927077,57,2023-01-01 01:22:00,Norte,Pendente
83,E,93.14586892773472,15,2023-01-01 01:23:00,Leste,Ativo
84,A,88.00672691282003,91,2023-01-01 01:24:00,Sul,Inativo
85,A,60.71935684058181,16,2023-01-01 01:25:00,Leste,Inativo
86,A,65.34252696708741,57,2023-01-01 01:26:00,Leste,Ativo
87,A,138.02241462535216,82,2023-01-01 01:27:00,Sul,Ativo
88,D,131.4719927846517,99,2023-01-01 01:28:00,Oeste,Ativo
89,C,88.4844449015192,25,2023-01-01 01:29:00,Oeste,Ativo
90,C,118.15998312364914,22,2023-01-01 01:30:00,Oeste,Ativo
91,A,110.12841549994062,31,2023-01-01 01:31:00,Leste,Ativo
92,C,112.48575913297684,34,2023-01-01 01:32:00,Norte,Ativo
93,C,71.4964447099859,87,2023-01-01 01:33:00,Norte,Ativo
94,A,63.8364415493968,16,2023-01-01 01:34:00,Leste,Ativo
95,C,123.65188718139778,70,2023-01-01 01:35:00,Leste,Ativo
96,E,60.4140339392634,59,2023-01-01 01:36:00,Sul,Pendente
97,B,97.03612917234969,15,2023-01-01 01:37:00,Norte,Ativo
98,B,92.64595347564426,82,2023-01-01 01:38:00,Leste,Ativo
99,A,90.79698076647183,13,2023-01-01 01:39:00,Oeste,Pendente
100,D,106.28901644581313,24,2023-01-01 01:40:00,Norte,Ativo
101,A,86.44815140443097,13,2023-01-01 01:41:00,Leste,Ativo
102,D,107.91470924930096,65,2023-01-01 01:42:00,Sul,Ativo
103,B,102.82310829382389,36,2023-01-01 01:43:00,Sul,Pendente
104,A,141.9746470810085,49,2023-01-01 01:44:00,Norte,Ativo
105,E,72.29181216363742,82,2023-01-01 01:45:00,Oeste,Ativo
106,C,100.58537967809653,48,2023-01-01 01:46:00,Norte,Inativo
107,D,108.62690199755527,97,2023-01-01 01:47:00,Leste,Ativo
108,C,94.87194888935407,43,2023-01-01 01:48:00,Oeste,Ativo
109,C,73.25849784224323,6,2023-01-01 01:49:00,Leste,Inativo
110,A,125.14205561310389,81,2023-01-01 01:50:00,Oeste,Ativo
111,C,106.73868660288105,68,2023-01-01 01:51:00,Oeste,Ativo
112,E,74.66206574146813,14,2023-01-01 01:52:00,Leste,Inativo
113,C,108.7733592511652,30,2023-01-01 01:53:00,Norte,Ativo
114,A,134.03132140105714,84,2023-01-01 01:54:00,Sul,Ativo
115,E,99.2736813316816,8,2023-01-01 01:55:00,Oeste,Ativo
116,B,99.95574661058876,54,2023-01-01 01:56:00,Oeste,Inativo
117,C,131.36010062086638,66,2023-01-01 01:57:00,Sul,Ativo
118,A,80.59232036497494,4,2023-01-01 01:58:00,Norte,Ativo
119,B,134.55104085241362,74,2023-01-01 01:59:00,Sul,Pendente
120,B,119.45822140736473,84,2023-01-01 02:00:00,Norte,Ativo
121,D,81.5156207203997,60,2023-01-01 02:01:00,Oeste,Ativo
122,E,86.63462000311769,53,2023-01-01 02:02:00,Oeste,Ativo
123,C,89.50374332635421,99,2023-01-01 02:03:00,Leste,Ativo
124,A,63.3287157202582,74,2023-01-01 02:04:00,Norte,Ativo
125,D,105.20943498141762,92,2023-01-01 02:05:00,Sul,Ativo
126,E,82.42105993504293,15,2023-01-01 02:06:00,Norte,Ativo
127,D,105.93102642862611,1,2023-01-01 02:07:00,Norte,Ativo
128,E,74.18113499349566,22,2023-01-01 02:08:00,Norte,Inativo
129,E,118.46026473788999,91,2023-01-01 02:09:00,Norte,Ativo
130,C,114.75251860261005,93,2023-01-01 02:10:00,Sul,Inativo
131,E,85.8824197187957,15,2023-01-01 02:11:00,Leste,Pendente
132,D,107.19298315764232,74,2023-01-01 02:12:00,Oeste,Ativo
133,E,101.6584111861916,84,2023-01-01 02:13:00,Sul,Ativo
134,C,129.64598972305822,22,2023-01-01 02:14:00,Sul,Ativo
135,C,79.35042064210256,50,2023-01-01 02:15:00,Oeste,Inativo
136,D,96.95404043011706,48,2023-01-01 02:16:00,Leste,Inativo
137,B,87.18632726584454,73,2023-01-01 02:17:00,Sul,Ativo
138,B,100.89636394200336,51,2023-01-01 02:18:00,Oeste,Pendente
139,E,110.66547205567187,96,2023-01-01 02:19:00,Leste,Ativo
140,A,86.96385243852582,17,2023-01-01 02:20:00,Leste,Pendente
141,E,92.71787557221575,83,2023-01-01 02:21:00,Norte,Ativo
142,D,119.32081596114725,91,2023-01-01 02:22:00,Sul,Inativo
143,D,127.14649323852885,51,2023-01-01 02:23:00,Leste,Ativo
144,D,109.87032070405758,37,2023-01-01 02:24:00,Sul,Ativo
145,D,97.24073802513682,98,2023-01-01 02:25:00,Oeste,Inativo
146,D,95.33806157925702,49,2023-01-01 02:26:00,Sul,Ativo
147,C,110.9625265745458,59,2023-01-01 02:27:00,Leste,Ativo
148,B,104.55534002809743,10,2023-01-01 02:28:00,Oeste,Ativo
149,D,67.02048324217394,30,2023-01-01 02:29:00,Oeste,Inativo
150,A,111.44770464615806,85,2023-01-01 02:30:00,Norte,Ativo
151,A,82.78860421154876,21,2023-01-01 02:31:00,Oeste,Inativo
152,A,71.66127183048695,34,2023-01-01 02:32:00,Leste,Ativo
153,A,66.63310223782548,73,2023-01-01 02:33:00,Norte,Ativo
154,C,95.67791257633361,98,2023-01-01 02:34:00,Leste,Ativo
155,A,79.66951275634796,50,2023-01-01 02:35:00,Leste,Inativo
156,D,53.47276880521605,76,2023-01-01 02:36:00,Norte,Ativo
157,E,92.83088986326379,47,2023-01-01 02:37:00,Norte,Ativo
158,A,90.18858330228268,85,2023-01-01 02:38:00,Sul,Ativo
159,C,97.0019777068324,84,2023-01-01 02:39:00,Leste,Ativo
160,C,87.42204091915247,6,2023-01-01 02:40:00,Sul,Pendente
161,A,136.58659327054556,50,2023-01-01 02:41:00,Oeste,Ativo
162,E,110.34674589367282,63,2023-01-01 02:42:00,Oeste,Pendente
163,A,90.00773352757045,12,2023-01-01 02:43:00,Sul,Ativo
164,C,98.72746325105275,41,2023-01-01 02:44:00,Norte,Ativo
165,B,128.29285334990695,31,2023-01-01 02:45:00,Oeste,Ativo
166,D,119.13245623470982,2,2023-01-01 02:46:00,Norte,Inativo
167,C,72.07576371249935,16,2023-01-01 02:47:00,Sul,Ativo
168,A,80.5141887834674,1,2023-01-01 02:48:00,Norte,Ativo
169,D,84.36306251953319,4,2023-01-01 02:49:00,Leste,Pendente
170,A,91.20600098128382,47,2023-01-01 02:50:00,Oeste,Ativo
171,A,88.09153594247915,65,2023-01-01 02:51:00,Norte,Inativo
172,B,100.68018509722155,52,2023-01-01 02:52:00,Norte,Inativo
173,D,114.71442622037776,47,2023-01-01 02:53:00,Leste,Ativo
174,D,118.05320578764972,99,2023-01-01 02:54:00,Norte,Ativo
175,B,93.46405314201418,77,2023-01-01 02:55:00,Sul,Ativo
176,C,67.30612962491207,50,2023-01-01 02:56:00,Sul,Ativo
177,A,79.19180116256517,45,2023-01-01 02:57:00,Sul,Ativo
178,E,89.6045042073994,42,2023-01-01 02:58:00,Oeste,Inativo
179,A,75.09931081497285,95,2023-01-01 02:59:00,Norte,Ativo
180,A,122.81717973403228,84,2023-01-01 03:00:00,Oeste,Ativo
181,C,76.40917882838544,56,2023-01-01 03:01:00,Oeste,Ativo
182,A,112.34126089470406,71,2023-01-01 03:02:00,Norte,Ativo
183,B,66.36239289954923,57,2023-01-01 03:03:00,Norte,Pendente
184,B,113.14402202592107,33,2023-01-01 03:04:00,Sul,Ativo
185,D,97.21462586664829,28,2023-01-01 03:05:00,Oeste,Ativo
186,E,130.250614046051,44,2023-01-01 03:06:00,Oeste,Ativo
187,A,77.3687478690734,56,2023-01-01 03:07:00,Norte,Ativo
188,A,88.7177039877681,44,2023-01-01 03:08:00,Oeste,Ativo
189,C,92.59134797179121,84,2023-01-01 03:09:00,Leste,Pendente
190,B,96.94999859699377,96,2023-01-01 03:10:00,Norte,Ativo
191,E,93.08038338195018,73,2023-01-01 03:11:00,Sul,Ativo
192,D,93.46642868182026,34,2023-01-01 03:12:00,Leste,Ativo
193,B,93.13874913228675,14,2023-01-01 03:13:00,Leste,Inativo
194,D,58.57640234839067,68,2023-01-01 03:14:00,Sul,Ativo
195,C,119.86669003215536,29,2023-01-01 03:15:00,Leste,Ativo
196,C,157.2227313526737,79,2023-01-01 03:16:00,Leste,Ativo
197,A,105.96542209201976,17,2023-01-01 03:17:00,Leste,Ativo
198,E,77.28498304283413,83,2023-01-01 03:18:00,Oeste,Ativo
199,D,79.30922738303425,9,2023-01-01 03:19:00,Leste,Pendente
200,B,112.26348003783136,27,2023-01-01 03:20:00,Leste,Ativo
201,C,107.70938951696486,49,2023-01-01 03:21:00,Norte,Ativo
202,A,94.31419778893323,79,2023-01-01 03:22:00,Sul,Ativo
203,A,115.06808741758371,37,2023-01-01 03:23:00,Oeste,Inativo
204,D,58.722299064910175,28,2023-01-01 03:24:00,Oeste,Ativo
205,C,115.08124254462247,50,2023-01-01 03:25:00,Sul,Ativo
206,E,104.75522329189786,55,2023-01-01 03:26:00,Oeste,Ativo
207,C,80.08104018433535,4,2023-01-01 03:27:00,Oeste,Pendente
208,D,71.3335214323863,85,2023-01-01 03:28:00,Oeste,Ativo
209,D,102.42654565491254,98,2023-01-01 03:29:00,Norte,Ativo
210,C,128.14476273535527,19,2023-01-01 03:30:00,Norte,Ativo
211,D,95.43813536005932,37,2023-01-01 03:31:00,Oeste,Ativo
212,C,82.9462996753432,4,2023-01-01 03:32:00,Sul,Inativo
213,B,103.82576520272505,37,2023-01-01 03:33:00,Sul,Inativo
214,C,136.41743620246947,51,2023-01-01 03:34:00,Norte,Ativo
215,C,108.62599626127432,32,2023-01-01 03:35:00,Norte,Ativo
216,D,110.78803976418816,45,2023-01-01 03:36:00,Leste,Ativo
217,D,124.45597271941112,12,2023-01-01 03:37:00,Norte,Ativo
218,A,109.45114798767645,41,2023-01-01 03:38:00,Oeste,Inativo
219,A,84.38060585679692,56,2023-01-01 03:39:00,Norte,Ativo
220,B,65.10870096203928,80,2023-01-01 03:40:00,Leste,Ativo
221,A,81.56693760443476,14,2023-01-01 03:41:00,Leste,Ativo
222,C,77.90547389804651,54,2023-01-01 03:42:00,Sul,Inativo
223,D,113.18616239022654,63,2023-01-01 03:43:00,Sul,Inativo
224,A,115.96696102698216,65,2023-01-01 03:44:00,Oeste,Ativo
225,A,103.51144123430976,58,2023-01-01 03:45:00,Norte,Ativo
226,B,74.62616046313654,96,2023-01-01 03:46:00,Leste,Pendente
227,B,135.73194047853391,21,2023-01-01 03:47:00,Leste,Ativo
228,C,91.67579572320822,4,2023-01-01 03:48:00,Sul,Ativo
229,D,112.06962020603073,73,2023-01-01 03:49:00,Sul,Inativo
230,B,100.98649673399119,46,2023-01-01 03:50:00,Norte,Ativo
231,A,104.17326966499829,86,2023-01-01 03:51:00,Leste,Ativo
232,D,111.36368006680796,12,2023-01-01 03:52:00,Sul,Inativo
233,D,86.07959676798096,30,2023-01-01 03:53:00,Norte,Ativo
234,A,126.10804852530333,94,2023-01-01 03:54:00,Norte,Ativo
235,B,68.40989165825454,96,2023-01-01 03:55:00,Norte,Ativo
236,A,79.2288738792823,60,2023-01-01 03:56:00,Sul,Pendente
237,D,125.84858748674165,71,2023-01-01 03:57:00,Sul,Ativo
238,E,111.80009522208942,81,2023-01-01 03:58:00,Sul,Inativo
239,E,150.80782195362866,65,2023-01-01 03:59:00,Oeste,Ativo
240,C,101.3670088730626,14,2023-01-01 04:00:00,Oeste,Ativo
241,A,134.00858592918186,44,2023-01-01 04:01:00,Oeste,Ativo
242,A,62.850424346731934,26,2023-01-01 04:02:00,Sul,Inativo
243,C,71.7297005360561,91,2023-01-01 04:03:00,Sul,Ativo
244,C,117.91051074833948,16,2023-01-01 04:04:00,Oeste,Inativo
245,C,65.1926434877103,7,2023-01-01 04:05:00,Leste,Ativo
246,D,96.05264785981021,32,2023-01-01 04:06:00,Leste,Inativo
247,A,123.34418167294317,89,2023-01-01 04:07:00,Leste,Ativo
248,D,110.02342528977337,95,2023-01-01 04:08:00,Leste,Ativo
249,C,100.22190440639159,16,2023-01-01 04:09:00,Oeste,Ativo
250,A,91.0178506234137,78,2023-01-01 04:10:00,Norte,Ativo
251,D,104.04451749183929,89,2023-01-01 04:11:00,Norte,Ativo
252,D,111.5449674475106,62,2023-01-01 04:12:00,Leste,Ativo
253,C,86.78211326027635,30,2023-01-01 04:13:00,Sul,Ativo
254,A,107.43472056024095,71,2023-01-01 04:14:00,Leste,Ativo
255,C,121.56861488397422,12,2023-01-01 04:15:00,Leste,Ativo
256,A,95.55043733400284,67,2023-01-01 04:16:00,Norte,Ativo
257,E,101.36245700281303,91,2023-01-01 04:17:00,Sul,Pendente
258,B,109.67557668005556,46,2023-01-01 04:18:00,Norte,Ativo
259,B,111.02668432179487,83,2023-01-01 04:19:00,Sul,Inativo
260,B,117.5690714599688,43,2023-01-01 04:20:00,Oeste,Ativo
261,C,79.712500880361,55,2023-01-01 04:21:00,Norte,Ativo
262,E,89.42154995229379,45,2023-01-01 04:22:00,Oeste,Ativo
263,A,90.16242615900693,60,2023-01-01 04:23:00,Oeste,Ativo
264,D,81.92175669674646,71,2023-01-01 04:24:00,Leste,Ativo
265,A,64.03172157284371,80,2023-01-01 04:25:00,Sul,Ativo
266,D,34.91042117404584,32,2023-01-01 04:26:00,Norte,Ativo
267,A,123.90905423505961,8,2023-01-01 04:27:00,Leste,Ativo
268,E,68.92213991104914,77,2023-01-01 04:28:00,Norte,Inativo
269,D,131.33018253411817,62,2023-01-01 04:29:00,Oeste,Ativo
270,C,114.78818977232925,75,2023-01-01 04:30:00,Norte,Ativo
271,A,91.88623240387494,20,2023-01-01 04:31:00,Norte,Ativo
272,A,112.32844209629468,18,2023-01-01 04:32:00,Leste,Inativo
273,D,108.50266493427443,6,2023-01-01 04:33:00,Sul,Ativo
274,C,77.96451274120452,84,2023-01-01 04:34:00,Norte,Ativo
275,C,99.70044452740738,96,2023-01-01 04:35:00,Oeste,Ativo
276,E,80.40322454917016,29,2023-01-01 04:36:00,Oeste,Ativo
277,C,113.08256004342185,4,2023-01-01 04:37:00,Leste,Inativo
278,C,85.69558096401224,71,2023-01-01 04:38:00,Oeste,Ativo
279,C,98.06740927606656,43,2023-01-01 04:39:00,Norte,Pendente
280,B,97.20402161978501,84,2023-01-01 04:40:00,Sul,Inativo
281,E,102.43158001078764,34,2023-01-01 04:41:00,Norte,Ativo
282,A,133.25110162228043,71,2023-01-01 04:42:00,Leste,Ativo
283,D,95.18078834288164,33,2023-01-01 04:43:00,Oeste,Pendente
284,A,124.3585428394903,15,2023-01-01 04:44:00,Norte,Ativo
285,E,109.59993988670075,96,2023-01-01 04:45:00,Norte,Inativo
286,D,128.36805092073166,86,2023-01-01 04:46:00,Oeste,Pendente
287,E,93.23128430370362,40,2023-01-01 04:47:00,Sul,Inativo
288,C,113.92272483939136,93,2023-01-01 04:48:00,Sul,Inativo
289,D,98.81463954799318,89,2023-01-01 04:49:00,Sul,Inativo
290,C,40.21213957673573,5,2023-01-01 04:50:00,Oeste,Ativo
291,A,78.20312829959049,78,2023-01-01 04:51:00,Norte,Ativo
292,A,111.64753891905504,50,2023-01-01 04:52:00,Leste,Ativo
293,D,110.32529832559997,99,2023-01-01 04:53:00,Norte,Inativo
294,D,74.10045222730153,66,2023-01-01 04:54:00,Oeste,Pendente
295,E,104.40735097676007,89,2023-01-01 04:55:00,Oeste,Ativo
296,E,110.0652045305101,54,2023-01-01 04:56:00,Norte,Ativo
297,C,99.30668860524787,80,2023-01-01 04:57:00,Oeste,Ativo
298,D,114.57637275319273,46,2023-01-01 04:58:00,Norte,Inativo
299,A,111.85110615857538,80,2023-01-01 04:59:00,Norte,Ativo
300,E,99.29712841190585,11,2023-01-01 05:00:00,Sul,Ativo
301,E,89.78350362271763,49,2023-01-01 05:01:00,Oeste,Pendente
302,A,120.85083184185018,99,2023-01-01 05:02:00,Oeste,Ativo
303,E,109.26324195757643,23,2023-01-01 05:03:00,Sul,Pendente
304,C,72.37134694939404,55,2023-01-01 05:04:00,Sul,Pendente
305,D,104.41795312162775,5,2023-01-01 05:05:00,Sul,Pendente
306,A,76.97950581084532,64,2023-01-01 05:06:00,Leste,Ativo
307,D,80.7086413514165,35,2023-01-01 05:07:00,Oeste,Ativo
308,E,86.96179929228725,93,2023-01-01 05:08:00,Norte,Inativo
309,E,100.89746471319404,69,2023-01-01 05:09:00,Norte,Ativo
310,A,107.4897115518257,54,2023-01-01 05:10:00,Norte,Ativo
311,C,91.82116221517457,3,2023-01-01 05:11:00,Oeste,Pendente
312,B,92.6963476741253,6,2023-01-01 05:12:00,Leste,Ativo
313,A,89.93512689396638,87,2023-01-01 05:13:00,Oeste,Ativo
314,B,120.95027274175257,56,2023-01-01 05:14:00,Oeste,Ativo
315,B,42.94112992800693,2,2023-01-01 05:15:00,Oeste,Inativo
316,C,93.82645180650434,82,2023-01-01 05:16:00,Oeste,Inativo
317,B,130.89969590764733,94,2023-01-01 05:17:00,Oeste,Ativo
318,B,110.34460100554774,38,2023-01-01 05:18:00,Leste,Ativo
319,C,125.33694481134249,56,2023-01-01 05:19:00,Sul,Ativo
320,B,59.31502280978154,5,2023-01-01 05:20:00,Norte,Ativo
321,B,75.15501537061755,46,2023-01-01 05:21:00,Oeste,Ativo
322,B,110.28096281372936,11,2023-01-01 05:22:00,Oeste,Ativo
323,A,131.01261186515336,65,2023-01-01 05:23:00,Oeste,Ativo
324,A,77.17527566310544,10,2023-01-01 05:24:00,Norte,Ativo
325,A,92.24476434586956,41,2023-01-01 05:25:00,Leste,Inativo
326,C,108.02928283733989,44,2023-01-01 05:26:00,Norte,Ativo
327,E,70.95003205824605,90,2023-01-01 05:27:00,Leste,Pendente
328,B,110.43382519161966,33,2023-01-01 05:28:00,Sul,Inativo
329,B,46.486307019275266,91,2023-01-01 05:29:00,Oeste,Ativo
330,C,109.8447892892971,56,2023-01-01 05:30:00,Leste,Ativo
331,B,80.09830064224315,12,2023-01-01 05:31:00,Norte,Inativo
332,A,91.04805618967173,2,2023-01-01 05:32:00,Leste,Pendente
333,E,113.03767895873935,1,2023-01-01 05:33:00,Leste,Ativo
334,D,108.94504310984502,65,2023-01-01 05:34:00,Sul,Ativo
335,B,99.84037591296591,33,2023-01-01 05:35:00,Oeste,Ativo
336,A,119.38081103270699,86,2023-01-01 05:36:00,Oeste,Ativo
337,D,65.99647974762352,76,2023-01-01 05:37:00,Norte,Ativo
338,E,104.08828743002827,36,2023-01-01 05:38:00,Norte,Ativo
339,D,84.19659738283035,21,2023-01-01 05:39:00,Sul,Ativo
340,A,118.36062937359972,84,2023-01-01 05:40:00,Leste,Ativo
341,D,113.74134139272239,36,2023-01-01 05:41:00,Leste,Inativo
342,C,114.4669643772801,26,2023-01-01 05:42:00,Norte,Inativo
343,D,132.9076366541427,47,2023-01-01 05:43:00,Oeste,Pendente
344,B,122.52695064869955,95,2023-01-01 05:44:00,Leste,Ativo
345,B,96.85157332453178,1,2023-01-01 05:45:00,Sul,Ativo
346,C,99.97464293025006,38,2023-01-01 05:46:00,Norte,Inativo
347,A,112.01876761423453,14,2023-01-01 05:47:00,Leste,Ativo
348,B,102.72349349495659,90,2023-01-01 05:48:00,Oeste,Ativo
349,E,114.10346643819436,46,2023-01-01 05:49:00,Oeste,Ativo
350,B,55.39359150453943,42,2023-01-01 05:50:00,Sul,Pendente
351,B,137.61607037586631,7,2023-01-01 05:51:00,Sul,Ativo
352,A,101.22057167112642,55,2023-01-01 05:52:00,Norte,Ativo
353,D,67.55069338214881,56,2023-01-01 05:53:00,Norte,Ativo
354,B,81.72413296832957,76,2023-01-01 05:54:00,Oeste,Pendente
355,C,57.413458976615544,63,2023-01-01 05:55:00,Oeste,Ativo
356,D,78.19529839628498,24,2023-01-01 05:56:00,Leste,Ativo
357,E,97.15503142720428,83,2023-01-01 05:57:00,Leste,Ativo
358,A,130.29429224988806,73,2023-01-01 05:58:00,Leste,Ativo
359,E,108.21349170839602,99,2023-01-01 05:59:00,Sul,Ativo
360,D,104.65721223929151,4,2023-01-01 06:00:00,Sul,Ativo
361,D,77.29790957568576,42,2023-01-01 06:01:00,Leste,Pendente
362,D,83.51029388692977,96,2023-01-01 06:02:00,Oeste,Inativo
363,E,85.0614461325561,70,2023-01-01 06:03:00,Norte,Ativo
364,D,85.8774277562779,28,2023-01-01 06:04:00,Sul,Ativo
365,E,92.9692624750279,92,2023-01-01 06:05:00,Sul,Ativo
366,D,94.47977876567039,40,2023-01-01 06:06:00,Leste,Inativo
367,C,93.21843252746304,51,2023-01-01 06:07:00,Norte,Ativo
368,D,86.57351539463035,29,2023-01-01 06:08:00,Sul,Ativo
369,E,102.70106331624453,42,2023-01-01 06:09:00,Norte,Ativo
370,B,93.7117043326645,69,2023-01-01 06:10:00,Sul,Ativo
371,D,68.08865507555545,5,2023-01-01 06:11:00,Norte,Ativo
372,B,100.6876364451587,41,2023-01-01 06:12:00,Norte,Ativo
373,C,97.66472004436847,61,2023-01-01 06:13:00,Sul,Ativo
374,A,68.40745094889648,55,2023-01-01 06:14:00,Norte,Inativo
375,C,88.17397106606924,28,2023-01-01 06:15:00,Oeste,Pendente
376,D,111.94145122022718,41,2023-01-01 06:16:00,Sul,Ativo
377,B,77.27100122678591,9,2023-01-01 06:17:00,Sul,Ativo
378,B,75.15641860543013,29,2023-01-01 06:18:00,Oeste,Ativo
379,E,93.50232756016523,78,2023-01-01 06:19:00,Norte,Ativo
380,B,112.45864539623928,38,2023-01-01 06:20:00,Oeste,Ativo
381,E,136.20655181445392,62,2023-01-01 06:21:00,Sul,Ativo
382,A,113.17870709707367,54,2023-01-01 06:22:00,Oeste,Inativo
383,D,121.69655480312215,52,2023-01-01 06:23:00,Norte,Ativo
384,E,106.93395257003327,34,2023-01-01 06:24:00,Oeste,Ativo
